"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3430","test_visual_user[chromium]","tests.ui","Sun Jul 20 17:18:18 GMT 2025","passed","Sun Jul 20 17:18:22 GMT 2025","","test_login_successful","",""
"","3936","test_locked_out_user[chromium]","tests.ui","Sun Jul 20 17:17:49 GMT 2025","passed","Sun Jul 20 17:17:53 GMT 2025","","test_login_negative","",""
"","10417","test_visual_user_with_enter[chromium]","tests.ui","Mon Jul 14 18:11:45 GMT 2025","failed","Mon Jul 14 18:11:56 GMT 2025","","test_login_successful","",""
"","1381","test_user_name_and_password_are_missing[chromium]","tests.ui","Sun Jul 20 17:17:56 GMT 2025","passed","Sun Jul 20 17:17:57 GMT 2025","","test_login_negative","",""
"","3613","test_standard_user[chromium]","tests.ui","Sun Jul 20 17:18:00 GMT 2025","passed","Sun Jul 20 17:18:04 GMT 2025","","test_login_successful","",""
"","10975","test_visual_user_with_trim[chromium]","tests.ui","Mon Jul 14 18:11:34 GMT 2025","failed","Mon Jul 14 18:11:45 GMT 2025","","test_login_successful","",""
"","2931","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Sun Jul 20 17:17:53 GMT 2025","passed","Sun Jul 20 17:17:56 GMT 2025","","test_login_negative","",""
"","11734","test_e2e_2[chromium]","tests.ui","Sun Jul 20 17:17:37 GMT 2025","passed","Sun Jul 20 17:17:48 GMT 2025","","test_end_to_end_buy_items","",""
"","2429","test_password_is_missing[chromium]","tests.ui","Sun Jul 20 17:17:58 GMT 2025","passed","Sun Jul 20 17:18:00 GMT 2025","","test_login_negative","",""
"","13525","test_e2e_1[chromium]","tests.ui","Sun Jul 20 17:17:23 GMT 2025","passed","Sun Jul 20 17:17:36 GMT 2025","","test_end_to_end_buy_items","",""
"","5817","test_locked_out_user[chromium]","tests.ui","Mon Jul 14 16:28:08 GMT 2025","passed","Mon Jul 14 16:28:14 GMT 2025","","test_login_successful","",""
"","7565","test_example[chromium]","tests.ui","Mon Jul 14 15:56:13 GMT 2025","passed","Mon Jul 14 15:56:20 GMT 2025","","test_login_negative","",""
"","9650","test_performance_glitch_user[chromium]","tests.ui","Sun Jul 20 17:18:08 GMT 2025","passed","Sun Jul 20 17:18:18 GMT 2025","","test_login_successful","",""
"","3583","test_standard_user_with_enter[chromium]","tests.ui","Sun Jul 20 17:18:04 GMT 2025","passed","Sun Jul 20 17:18:08 GMT 2025","","test_login_successful","",""
