"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3456","test_visual_user[chromium]","tests.ui","Mon Jul 28 19:52:42 GMT 2025","passed","Mon Jul 28 19:52:46 GMT 2025","","test_login_successful","",""
"","3645","test_standard_user_with_enter[chromium]","tests.ui","Mon Jul 28 19:52:28 GMT 2025","passed","Mon Jul 28 19:52:32 GMT 2025","","test_login_successful","",""
"","1385","test_user_name_and_password_are_missing[chromium]","tests.ui","Mon Jul 28 19:52:20 GMT 2025","passed","Mon Jul 28 19:52:21 GMT 2025","","test_login_negative","",""
"","5817","test_locked_out_user[chromium]","tests.ui","Mon Jul 14 16:28:08 GMT 2025","passed","Mon Jul 14 16:28:14 GMT 2025","","test_login_successful","",""
"","256","test_delete_user","tests.api","Mon Jul 28 19:51:39 GMT 2025","passed","Mon Jul 28 19:51:39 GMT 2025","","test_delete_user","",""
"","7565","test_example[chromium]","tests.ui","Mon Jul 14 15:56:13 GMT 2025","passed","Mon Jul 14 15:56:20 GMT 2025","","test_login_negative","",""
"","9687","test_performance_glitch_user[chromium]","tests.ui","Mon Jul 28 19:52:32 GMT 2025","passed","Mon Jul 28 19:52:42 GMT 2025","","test_login_successful","",""
"","364","test_get_resource","tests.api","Mon Jul 28 19:51:39 GMT 2025","passed","Mon Jul 28 19:51:40 GMT 2025","","test_get_resource","",""
"","12939","test_e2e_2[chromium]","tests.ui","Mon Jul 28 19:51:59 GMT 2025","passed","Mon Jul 28 19:52:12 GMT 2025","","test_end_to_end_buy_items","",""
"","3675","test_standard_user[chromium]","tests.ui","Mon Jul 28 19:52:24 GMT 2025","passed","Mon Jul 28 19:52:28 GMT 2025","","test_login_successful","",""
"","3947","test_locked_out_user[chromium]","tests.ui","Mon Jul 28 19:52:13 GMT 2025","passed","Mon Jul 28 19:52:16 GMT 2025","","test_login_negative","",""
"","384","test_get_user_not_found","tests.api","Mon Jul 28 19:51:40 GMT 2025","passed","Mon Jul 28 19:51:40 GMT 2025","","test_get_user_not_found","",""
"","10975","test_visual_user_with_trim[chromium]","tests.ui","Mon Jul 14 18:11:34 GMT 2025","failed","Mon Jul 14 18:11:45 GMT 2025","","test_login_successful","",""
"","12500","test_e2e_1[chromium]","tests.ui","Mon Jul 28 19:51:46 GMT 2025","passed","Mon Jul 28 19:51:59 GMT 2025","","test_end_to_end_buy_items","",""
"","375","test_get_users_list[1-200]","tests.api","Mon Jul 28 19:51:40 GMT 2025","passed","Mon Jul 28 19:51:41 GMT 2025","","test_get_users","",""
"","2509","test_password_is_missing[chromium]","tests.ui","Mon Jul 28 19:52:22 GMT 2025","passed","Mon Jul 28 19:52:24 GMT 2025","","test_login_negative","",""
"","10417","test_visual_user_with_enter[chromium]","tests.ui","Mon Jul 14 18:11:45 GMT 2025","failed","Mon Jul 14 18:11:56 GMT 2025","","test_login_successful","",""
"","378","test_login","tests.api","Mon Jul 28 19:51:41 GMT 2025","passed","Mon Jul 28 19:51:41 GMT 2025","","test_login_user","",""
"","65","test_get_users_list[2-200]","tests.api","Mon Jul 28 19:51:41 GMT 2025","passed","Mon Jul 28 19:51:41 GMT 2025","","test_get_users","",""
"","3099","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Mon Jul 28 19:52:17 GMT 2025","passed","Mon Jul 28 19:52:20 GMT 2025","","test_login_negative","",""
"","429","test_create_user","tests.api","Mon Jul 28 19:51:39 GMT 2025","passed","Mon Jul 28 19:51:39 GMT 2025","","test_create_user","",""
"","250","test_update_user","tests.api","Mon Jul 28 19:51:41 GMT 2025","passed","Mon Jul 28 19:51:42 GMT 2025","","test_update_user","",""
"","382","test_get_user_with_generator","tests.api","Mon Jul 28 19:51:40 GMT 2025","passed","Mon Jul 28 19:51:40 GMT 2025","","test_get_user_by_id","",""
