"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3751","test_standard_user[chromium]","tests.ui","Sun Jul 20 13:23:56 GMT 2025","passed","Sun Jul 20 13:24:00 GMT 2025","","test_login_successful","",""
"","4629","test_locked_out_user[chromium]","tests.ui","Sun Jul 20 13:23:44 GMT 2025","passed","Sun Jul 20 13:23:48 GMT 2025","","test_login_negative","",""
"","10417","test_visual_user_with_enter[chromium]","tests.ui","Mon Jul 14 18:11:45 GMT 2025","failed","Mon Jul 14 18:11:56 GMT 2025","","test_login_successful","",""
"","5817","test_locked_out_user[chromium]","tests.ui","Mon Jul 14 16:28:08 GMT 2025","passed","Mon Jul 14 16:28:14 GMT 2025","","test_login_successful","",""
"","2450","test_password_is_missing[chromium]","tests.ui","Sun Jul 20 13:23:54 GMT 2025","passed","Sun Jul 20 13:23:56 GMT 2025","","test_login_negative","",""
"","9655","test_performance_glitch_user[chromium]","tests.ui","Sun Jul 20 13:24:04 GMT 2025","passed","Sun Jul 20 13:24:14 GMT 2025","","test_login_successful","",""
"","10975","test_visual_user_with_trim[chromium]","tests.ui","Mon Jul 14 18:11:34 GMT 2025","failed","Mon Jul 14 18:11:45 GMT 2025","","test_login_successful","",""
"","2982","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Sun Jul 20 13:23:49 GMT 2025","passed","Sun Jul 20 13:23:52 GMT 2025","","test_login_negative","",""
"","7565","test_example[chromium]","tests.ui","Mon Jul 14 15:56:13 GMT 2025","passed","Mon Jul 14 15:56:20 GMT 2025","","test_login_negative","",""
"","1393","test_user_name_and_password_are_missing[chromium]","tests.ui","Sun Jul 20 13:23:52 GMT 2025","passed","Sun Jul 20 13:23:53 GMT 2025","","test_login_negative","",""
"","3433","test_visual_user[chromium]","tests.ui","Sun Jul 20 13:24:14 GMT 2025","passed","Sun Jul 20 13:24:18 GMT 2025","","test_login_successful","",""
"","3604","test_standard_user_with_enter[chromium]","tests.ui","Sun Jul 20 13:24:00 GMT 2025","passed","Sun Jul 20 13:24:04 GMT 2025","","test_login_successful","",""
