"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","332","test_create_user","tests.api","Mon Jul 21 11:56:17 GMT 2025","passed","Mon Jul 21 11:56:17 GMT 2025","","test_create_user","",""
"","7565","test_example[chromium]","tests.ui","Mon Jul 14 15:56:13 GMT 2025","passed","Mon Jul 14 15:56:20 GMT 2025","","test_login_negative","",""
"","9815","test_performance_glitch_user[chromium]","tests.ui","Mon Jul 21 11:57:15 GMT 2025","passed","Mon Jul 21 11:57:25 GMT 2025","","test_login_successful","",""
"","180","test_update_user","tests.api","Mon Jul 21 11:56:18 GMT 2025","passed","Mon Jul 21 11:56:18 GMT 2025","","test_update_user","",""
"","5817","test_locked_out_user[chromium]","tests.ui","Mon Jul 14 16:28:08 GMT 2025","passed","Mon Jul 14 16:28:14 GMT 2025","","test_login_successful","",""
"","4129","test_locked_out_user[chromium]","tests.ui","Mon Jul 21 11:56:55 GMT 2025","passed","Mon Jul 21 11:56:59 GMT 2025","","test_login_negative","",""
"","11952","test_e2e_2[chromium]","tests.ui","Mon Jul 21 11:56:42 GMT 2025","passed","Mon Jul 21 11:56:54 GMT 2025","","test_end_to_end_buy_items","",""
"","290","test_get_user_with_generator","tests.api","Mon Jul 21 11:56:17 GMT 2025","passed","Mon Jul 21 11:56:18 GMT 2025","","test_get_user_by_id","",""
"","3784","test_standard_user_with_enter[chromium]","tests.ui","Mon Jul 21 11:57:11 GMT 2025","passed","Mon Jul 21 11:57:15 GMT 2025","","test_login_successful","",""
"","73","test_get_users_list","tests.api","Mon Jul 21 11:56:18 GMT 2025","passed","Mon Jul 21 11:56:18 GMT 2025","","test_get_users","",""
"","1526","test_user_name_and_password_are_missing[chromium]","tests.ui","Mon Jul 21 11:57:02 GMT 2025","passed","Mon Jul 21 11:57:04 GMT 2025","","test_login_negative","",""
"","2627","test_password_is_missing[chromium]","tests.ui","Mon Jul 21 11:57:04 GMT 2025","passed","Mon Jul 21 11:57:07 GMT 2025","","test_login_negative","",""
"","3778","test_standard_user[chromium]","tests.ui","Mon Jul 21 11:57:07 GMT 2025","passed","Mon Jul 21 11:57:11 GMT 2025","","test_login_successful","",""
"","13140","test_e2e_1[chromium]","tests.ui","Mon Jul 21 11:56:29 GMT 2025","passed","Mon Jul 21 11:56:42 GMT 2025","","test_end_to_end_buy_items","",""
"","3131","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Mon Jul 21 11:56:59 GMT 2025","passed","Mon Jul 21 11:57:02 GMT 2025","","test_login_negative","",""
"","10417","test_visual_user_with_enter[chromium]","tests.ui","Mon Jul 14 18:11:45 GMT 2025","failed","Mon Jul 14 18:11:56 GMT 2025","","test_login_successful","",""
"","295","test_get_user_not_found","tests.api","Mon Jul 21 11:56:18 GMT 2025","failed","Mon Jul 21 11:56:18 GMT 2025","","test_get_user_not_found","",""
"","10975","test_visual_user_with_trim[chromium]","tests.ui","Mon Jul 14 18:11:34 GMT 2025","failed","Mon Jul 14 18:11:45 GMT 2025","","test_login_successful","",""
"","295","test_delete_user","tests.api","Mon Jul 21 11:56:17 GMT 2025","passed","Mon Jul 21 11:56:17 GMT 2025","","test_delete_user","",""
"","3572","test_visual_user[chromium]","tests.ui","Mon Jul 21 11:57:25 GMT 2025","passed","Mon Jul 21 11:57:29 GMT 2025","","test_login_successful","",""
